Place,Count
Afrika,1
Ahlefeldt,1
Anhalt,5
Ansbach,1
Augsburg,1
Augsburger,1
Avranches,1
Baden,6
Bayern,13
Belgrad,7
Bellamont,1
Berlin,10
Borgholzhausen,1
Brandenburg,7
Buda,3
Celle,4
Condom,1
Dalmatien,1
Deutschland,2
Dohna,2
Donau,1
Dresden,1
Dänemark,3
Ebstorf,7
England,13
Engländer,1
Euböa,1
Europa,2
Florenz,1
Frankfurt,2
Frankreich,30
Freising,1
Fürstenberg,1
Fürstenfeldbruck,1
Greiffenstein,1
Großbritannien,4
Göhrde,1
Hammerstein,1
Hannover,33
Hanover,3
Heidelberg,1
Hessen,1
Hessen-Kassel,1
Holland,4
Holländer,2
Holstein,1
Idria,1
Ilok,1
Inn,1
Israel,1
Italien,2
Karlsbad,1
Kassel,1
Koblenz,1
Konstantinopel,1
Kurpfalz,1
Kärnten,1
Köln,2
Königsmarck,3
La Trappe,3
Laxenburg,1
Levante,1
Linsburg,1
Loccum,5
Loreto,2
Lothringen,7
Lüneborg,1
Lüneburg,8
Lüttich,1
Mantua,1
Maubuisson,2
Meaux,8
Mecklenburg,1
Modena,11
Morea,1
München,5
Nauplia,1
Neuburg,1
Nizza,1
Oranien,16
Orléans,1
Ostfriesland,2
Peterwardein,2
Pfalz,2
Pfalz-Neuburg,1
Philippsburg,1
Plittersdorf,1
Pottendorf,1
Prag,1
Preußen,1
Regensburg,3
Rhein,6
Rom,3
Ruhr,3
Römer,1
Saint Cyr,1
Savoyen,3
Schweden,1
Siebenbürgen,2
Sorbonne,2
Spanier,2
Starhemberg,2
Steiermark,1
Temeswar,2
Toskana,1
Transsilvanien,1
Ungarn,5
Venedig,6
Venezianer,3
Vesuv,1
Walachei,1
Wales,4
Wangenheim,1
Wardein,1
Wien,19
Wolfenbüttel,5
Württemberg,1
Zell,1
Zellerfeld,1
