Place,Count
Aachen,1
Adda,1
Afrika,3
Ahlden,2
Ahlefeldt,3
Alpen,1
Alster,1
Altdorf,2
Altona,1
Amerika,3
Amsterdam,8
Amsterdamer,1
Anhalt,7
Ansbach,3
Antwerpen,1
Aquileja,1
Armenier,1
Armorika,1
Arnstadt,1
Asien,1
Astrachan,1
Augsburg,2
Australier,1
Avranches,3
Babel,1
Babylon,2
Bamberg,2
Barcelona,4
Baudrand,1
Bayern,20
Bayreuth,2
Beichlingen,1
Belgrad,7
Bellamont,2
Bender,1
Berlin,147
Bevern,3
Bille,1
Blankenburg,1
Blumenthals,1
Bonn,1
Bonnac,1
Borgholzhausen,1
Borgoforte,1
Bothmer,1
Boulogne,1
Bourg,1
Brandenburg,36
Brandenburger,3
Braun,1
Braunschweig,84
Braunschweig-Lüneburg,1
Braunschweiger,1
Breda,1
Bremen,3
Brenta,1
Brescello,1
Breslau,6
Bretagne,1
Brey,1
Bruchhausen,2
Brüssel,1
Buckow,2
Buda,3
Burgdorf,3
Burgund,3
Bussche,1
Béthencourt,1
Böhmen,3
Bückeburg,3
Cadiz,1
Campen,1
Celle,40
Chaldäa,3
Chaldäer,1
Charlottenburg,3
Chartres,2
Chevreau,1
China,9
Chinese,3
Chios,1
Clausthal,1
Collen,1
Condom,1
Crossen,1
Cöllen,2
Dalmatien,1
Danzig,3
Darmstadt,2
Dauphin,4
Den Haag,6
Dennem,1
Detmold,1
Deutschland,18
Dixmuiden,1
Dohna,1
Donau,5
Donauwörth,3
Dover,1
Dresden,12
Däne,12
Dänemark,31
Düsseldorf,1
Ebstorf,4
Eider,1
Eidermündung,1
Elbe,6
Engensen,1
England,124
Engländer,41
Ephesus,1
Essen,1
Este,3
Estes,1
Etsch,1
Euböa,1
Europa,14
Europäer,1
Ferrara,1
Festung Ilok,1
Finnland,4
Flandern,1
Florenz,4
Franken,2
Frankfurt,6
Frankfurt an der Oder,1
Frankreich,105
Franzose,11
Freising,1
Friesland,1
Fuentes,1
Fürstenberg,2
Fürstenfeldbruck,1
Gandersheim,2
Gargan,1
Genf,1
Genua,1
Gibel,1
Gibraltar,1
Glogau,1
Gloucester,1
Goslar,1
Gotha,1
Graupen,1
Greiffenstein,1
Greifswald,1
Grieche,1
Großbritannien,15
Großburgwedel,1
Grönland,1
Guadagne,1
Gundelsheim,1
Gurgel,1
Gyllenstierna,1
Göhrde,7
Göteborg,2
Güstrower,1
Hackelberg,1
