Place,Count
Aachen,4
Adda,2
Afrika,6
Ahlden,4
Alpen,2
Alster,2
Altdorf,6
Altona,4
Amerika,4
Amsterdam,14
Amsterdamer,4
Anhalt,18
Anjou,8
Ansbach,12
Antwerpen,2
Aquileja,2
Armenier,2
Asien,4
Astrachan,2
Augsburg,6
Augsburger,6
Australier,2
Auvergne,4
Avranches,6
Baden,14
Bamberg,4
Barcelona,8
Bayern,68
Bayreuth,8
Beichlingen,8
Belgrad,14
Bender,4
Berlin,344
Bevern,14
Bille,2
Blankenburg,6
Bonn,2
Borgholzhausen,2
Borgoforte,2
Boulogne,2
Bourg,2
Brandenburg,90
Brandenburger,6
Braunschweig,268
Breda,2
Bremen,6
Brenta,2
Brescello,2
Breslau,12
Bretagne,2
Bristol,2
Bruchhausen,4
Brüssel,6
Buckow,4
Buda,6
Burgdorf,4
Burgund,20
Böhmen,4
Bückeburg,8
Cadiz,2
Cambray,2
Cambridge,4
Campen,4
Celle,150
Chaldäa,4
Chaldäer,12
Champagne,2
Charlottenburg,6
China,20
Chios,2
Clausthal,2
Condom,2
Coppenbrügge,2
Crossen,2
Dalmatien,2
Danzig,6
Den Haag,16
Detmold,2
Deutschland,38
Dixmuiden,2
Dohna,14
Donau,16
Donauwörth,6
Dover,2
Dresden,24
Dänemark,68
Düsseldorf,4
Ebdorff,2
Ebstorf,14
Eider,2
Elbe,10
Elbing,2
England,286
Engländer,80
Ephesus,2
Essen,14
Etsch,2
Euböa,2
Europa,32
Europäer,2
Ferrara,2
Finnland,6
Florenz,8
Franken,6
Frankfurt,16
Frankreich,234
Franzose,4
Freising,2
Friesland,4
Fuentes,2
Fürstenberg,6
Fürstenfeldbruck,2
Gandersheim,2
Genf,2
Genua,4
Gibel,2
Gibraltar,2
Glogau,2
Goslar,2
Gotha,4
Graupen,4
Greiffenstein,2
Greifswald,2
Großbritannien,36
Großburgwedel,2
Grönland,2
Gundelsheim,2
Göhrde,14
Göteborg,4
Güstrow,2
Hackelberg,2
Halle,4
Hamburg,32
Hammerstein,14
Hannover,528
Harburg,8
Harburger,4
Harz,16
Heidelberg,6
Helmstedt,18
Herford,2
Herrenhausen,124
Herzberg,2
Hessen,12
Hessen-Kassel,2
Het Loo,8
Hildesheim,36
Hildesheimer,8
Holland,98
Holländer,30
Holstein,42
Homburg,2
Hundisburg,2
Idria,2
Ilok,2
Indien,12
Ingenheim,2
Inn,4
Innsbruck,4
Irland,4
Israel,2
Italien,48
Italiener,12
Jena,6
Jerusalem,2
Kairo,4
Kap der Guten Hoffnung,2
Karlsbad,14
Kasan,2
Kassel,22
Kehl,2
Kiel,2
Kiew,2
Kliszów,4
Kniphausen,4
Koblenz,2
Konstantinopel,8
Kopenhagen,2
Krakau,26
Kroatien,2
Kurland,16
Kurpfalz,2
Kärnten,2
Köln,26
Königreich,34
Königsberg,2
Königsmarck,16
Königstein,6
Köpenick,4
La Trappe,6
Lamspringe,6
Landsberg,2
Lauenburg,4
Laxemburg,2
Laxenburg,2
Lehnin,6
Leipzig,16
Lenzen,6
Levante,4
Lichtenburg,2
Linsburg,36
Linz,6
Litauen,10
Litauer,2
Livland,6
Loccum,18
Lombardei,4
London,22
Loreto,4
Lothringen,28
Lustenburg,10
Lyon,6
Lübeck,2
Lüneborg,2
Lüneburg,28
Lüttich,10
Maas,8
Maastricht,4
Madrid,4
Magdeburg,20
Mailand,10
Maine,4
Maintenon,8
Mainz,10
Malchow,4
Malta,2
Mantua,6
Marienbad,2
Marlborough,46
Martinitz,2
Maubuisson,8
Meaux,28
Mecklenburg,12
Melle,2
Memel,2
Merseburg,6
Meseritz,2
Mittelmeer,2
Modena,34
Monferrato,2
Monmouth,4
Montepulciano,2
Moray,2
Morea,2
Moskau,10
München,10
Münster,20
Namur,4
Nassau,4
Nauplia,2
Neapel,12
Neuburg,6
Newcastle,4
Niederlande,2
Niedersachsen,2
Niederösterreich,2
Nienburg,4
Nimwegen,2
Nizza,2
Nola,2
Nordhausen,10
Nordmeer,2
Norwegen,4
Nöteburg,6
Nürnberg,4
